"jaar","code","provincie"
2023,"0203","Gelderland"
2023,"0888","Limburg"
2023,"1954","Limburg"
2023,"0889","Limburg"
2023,"1945","Gelderland"
2023,"1724","Noord-Brabant"
2023,"0893","Limburg"
2023,"0373","Noord-Holland"
2023,"0748","Noord-Brabant"
2023,"1859","Gelderland"
2023,"1721","Noord-Brabant"
2023,"0753","Noord-Brabant"
2023,"0209","Gelderland"
2023,"0375","Noord-Holland"
2023,"0310","Utrecht"
2023,"1728","Noord-Brabant"
2023,"0376","Noord-Holland"
2023,"0377","Noord-Holland"
2023,"1901","Zuid-Holland"
2023,"0755","Noord-Brabant"
2023,"1681","Drenthe"
2023,"0147","Overijssel"
2023,"0654","Zeeland"
2023,"0757","Noord-Brabant"
2023,"0758","Noord-Brabant"
2023,"1876","Gelderland"
2023,"0213","Gelderland"
2023,"0899","Limburg"
2023,"0312","Utrecht"
2023,"0313","Utrecht"
2023,"0214","Gelderland"
2023,"0502","Zuid-Holland"
2023,"0383","Noord-Holland"
2023,"0109","Drenthe"
2023,"1706","Noord-Brabant"
2023,"0216","Gelderland"
2023,"0148","Overijssel"
2023,"1891","Fryslân"
2023,"0503","Zuid-Holland"
2023,"0762","Noord-Brabant"
2023,"0150","Overijssel"
2023,"0384","Noord-Holland"
2023,"1980","Noord-Holland"
2023,"1774","Overijssel"
2023,"0221","Gelderland"
2023,"0222","Gelderland"
2023,"0766","Noord-Brabant"
2023,"0505","Zuid-Holland"
2023,"0498","Noord-Holland"
2023,"1719","Noord-Brabant"
2023,"0303","Flevoland"
2023,"0225","Gelderland"
2023,"0226","Gelderland"
2023,"1711","Limburg"
2023,"0385","Noord-Holland"
2023,"0228","Gelderland"
2023,"0317","Utrecht"
2023,"1979","Groningen"
2023,"0770","Noord-Brabant"
2023,"1903","Limburg"
2023,"0772","Noord-Brabant"
2023,"0230","Gelderland"
2023,"0114","Drenthe"
2023,"0388","Noord-Holland"
2023,"0153","Overijssel"
2023,"0232","Gelderland"
2023,"0233","Gelderland"
2023,"0777","Noord-Brabant"
2023,"1940","Fryslân"
2023,"0779","Noord-Brabant"
2023,"1771","Noord-Brabant"
2023,"1652","Noord-Brabant"
2023,"0907","Limburg"
2023,"0784","Noord-Brabant"
2023,"1924","Zuid-Holland"
2023,"0664","Zeeland"
2023,"0785","Noord-Brabant"
2023,"1942","Noord-Holland"
2023,"0512","Zuid-Holland"
2023,"0513","Zuid-Holland"
2023,"0518","Zuid-Holland"
2023,"0014","Groningen"
2023,"1729","Limburg"
2023,"0158","Overijssel"
2023,"0392","Noord-Holland"
2023,"0394","Noord-Holland"
2023,"1655","Noord-Brabant"
2023,"0160","Overijssel"
2023,"0243","Gelderland"
2023,"0523","Zuid-Holland"
2023,"0072","Fryslân"
2023,"0244","Gelderland"
2023,"0396","Noord-Holland"
2023,"0397","Noord-Holland"
2023,"0246","Gelderland"
2023,"0074","Fryslân"
2023,"0917","Limburg"
2023,"1658","Noord-Brabant"
2023,"0399","Noord-Holland"
2023,"0400","Noord-Holland"
2023,"0163","Overijssel"
2023,"0794","Noord-Brabant"
2023,"0531","Zuid-Holland"
2023,"0164","Overijssel"
2023,"0796","Noord-Brabant"
2023,"0252","Gelderland"
2023,"0797","Noord-Brabant"
